GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47001,Anderson,1,1,1,2022,1723
47001,Anderson,1,1,2,2022,1911
47001,Anderson,1,1,3,2022,1978
47001,Anderson,1,1,4,2022,2079
47001,Anderson,1,1,5,2022,2011
47001,Anderson,1,1,6,2022,2209
47001,Anderson,1,1,7,2022,2259
47001,Anderson,1,1,8,2022,2049
47001,Anderson,1,1,9,2022,2163
47001,Anderson,1,1,10,2022,2025
47001,Anderson,1,1,11,2022,2276
47001,Anderson,1,1,12,2022,2369
47001,Anderson,1,1,13,2022,2452
47001,Anderson,1,1,14,2022,2252
47001,Anderson,1,1,15,2022,1834
47001,Anderson,1,1,16,2022,1380
47001,Anderson,1,1,17,2022,695
47001,Anderson,1,1,18,2022,569
47001,Anderson,1,2,1,2022,1635
47001,Anderson,1,2,2,2022,1793
47001,Anderson,1,2,3,2022,1994
47001,Anderson,1,2,4,2022,1827
47001,Anderson,1,2,5,2022,1887
47001,Anderson,1,2,6,2022,2090
47001,Anderson,1,2,7,2022,2197
47001,Anderson,1,2,8,2022,2108
47001,Anderson,1,2,9,2022,1967
47001,Anderson,1,2,10,2022,2122
47001,Anderson,1,2,11,2022,2392
47001,Anderson,1,2,12,2022,2554
47001,Anderson,1,2,13,2022,2580
47001,Anderson,1,2,14,2022,2427
47001,Anderson,1,2,15,2022,2172
47001,Anderson,1,2,16,2022,1577
47001,Anderson,1,2,17,2022,962
47001,Anderson,1,2,18,2022,1134
47001,Anderson,2,1,1,2022,82
47001,Anderson,2,1,2,2022,100
47001,Anderson,2,1,3,2022,99
47001,Anderson,2,1,4,2022,110
47001,Anderson,2,1,5,2022,111
47001,Anderson,2,1,6,2022,132
47001,Anderson,2,1,7,2022,132
47001,Anderson,2,1,8,2022,118
47001,Anderson,2,1,9,2022,87
47001,Anderson,2,1,10,2022,109
47001,Anderson,2,1,11,2022,92
47001,Anderson,2,1,12,2022,91
47001,Anderson,2,1,13,2022,103
47001,Anderson,2,1,14,2022,66
47001,Anderson,2,1,15,2022,50
47001,Anderson,2,1,16,2022,29
47001,Anderson,2,1,17,2022,19
47001,Anderson,2,1,18,2022,10
47001,Anderson,2,2,1,2022,91
47001,Anderson,2,2,2,2022,92
47001,Anderson,2,2,3,2022,84
47001,Anderson,2,2,4,2022,76
47001,Anderson,2,2,5,2022,93
47001,Anderson,2,2,6,2022,122
47001,Anderson,2,2,7,2022,108
47001,Anderson,2,2,8,2022,76
47001,Anderson,2,2,9,2022,104
47001,Anderson,2,2,10,2022,83
47001,Anderson,2,2,11,2022,89
47001,Anderson,2,2,12,2022,92
47001,Anderson,2,2,13,2022,111
47001,Anderson,2,2,14,2022,108
47001,Anderson,2,2,15,2022,66
47001,Anderson,2,2,16,2022,40
47001,Anderson,2,2,17,2022,25
47001,Anderson,2,2,18,2022,23
47001,Anderson,3,1,1,2022,131
47001,Anderson,3,1,2,2022,168
47001,Anderson,3,1,3,2022,170
47001,Anderson,3,1,4,2022,167
47001,Anderson,3,1,5,2022,122
47001,Anderson,3,1,6,2022,98
47001,Anderson,3,1,7,2022,107
47001,Anderson,3,1,8,2022,114
47001,Anderson,3,1,9,2022,92
47001,Anderson,3,1,10,2022,104
47001,Anderson,3,1,11,2022,95
47001,Anderson,3,1,12,2022,71
47001,Anderson,3,1,13,2022,57
47001,Anderson,3,1,14,2022,32
47001,Anderson,3,1,15,2022,19
47001,Anderson,3,1,16,2022,10
47001,Anderson,3,1,17,2022,4
47001,Anderson,3,1,18,2022,7
47001,Anderson,3,2,1,2022,139
47001,Anderson,3,2,2,2022,160
47001,Anderson,3,2,3,2022,130
47001,Anderson,3,2,4,2022,132
47001,Anderson,3,2,5,2022,120
47001,Anderson,3,2,6,2022,107
47001,Anderson,3,2,7,2022,114
47001,Anderson,3,2,8,2022,80
47001,Anderson,3,2,9,2022,107
47001,Anderson,3,2,10,2022,74
47001,Anderson,3,2,11,2022,103
47001,Anderson,3,2,12,2022,64
47001,Anderson,3,2,13,2022,39
47001,Anderson,3,2,14,2022,25
47001,Anderson,3,2,15,2022,24
47001,Anderson,3,2,16,2022,20
47001,Anderson,3,2,17,2022,4
47001,Anderson,3,2,18,2022,12
47001,Anderson,4,1,1,2022,160
47001,Anderson,4,1,2,2022,150
47001,Anderson,4,1,3,2022,156
47001,Anderson,4,1,4,2022,128
47001,Anderson,4,1,5,2022,125
47001,Anderson,4,1,6,2022,121
47001,Anderson,4,1,7,2022,124
47001,Anderson,4,1,8,2022,83
47001,Anderson,4,1,9,2022,86
47001,Anderson,4,1,10,2022,67
47001,Anderson,4,1,11,2022,72
47001,Anderson,4,1,12,2022,68
47001,Anderson,4,1,13,2022,60
47001,Anderson,4,1,14,2022,49
47001,Anderson,4,1,15,2022,60
47001,Anderson,4,1,16,2022,26
